"layer","Banda1","Banda2","Banda3","Banda4","Banda5","Banda6","Banda7","Banda10","Banda11"
17,10183.75,9121.2568359375,7446.52392578125,6314.638671875,5684.62255859375,5167.19775390625,5088.43603515625,28034.51171875,25465.765625
17,10178.7978515625,9114.490234375,7435.7353515625,6306.58642578125,5685.013671875,5163.65625,5084.890625,28023.427734375,25485.7890625
17,10184.087890625,9111.94921875,7438.97119140625,6304.6572265625,5683.56640625,5162.97119140625,5081.87548828125,27990.923828125,25475.9921875
17,10172.3564453125,9104.34375,7430.2490234375,6298.8349609375,5684.6767578125,5162.76806640625,5082.291015625,27958.31640625,25449.923828125
17,10161.9716796875,9099.982421875,7429.72021484375,6299.37646484375,5683.9091796875,5162.830078125,5085.6513671875,28004.0859375,25452.919921875
17,10150.244140625,9087.7236328125,7418.5859375,6294.49853515625,5683.20166015625,5163.16064453125,5081.7861328125,28049.4453125,25486.158203125
17,10143.935546875,9077.71875,7420.3525390625,6291.7265625,5687.01416015625,5160.40478515625,5083.69140625,28058.833984375,25501.91015625
8,12905.2236328125,12564.490234375,12472.90625,13103.490234375,15322.81640625,17649.033203125,16209.9013671875,33706.4921875,28863.171875
8,12766.373046875,12374.8564453125,12219.138671875,12731.6474609375,15598.3427734375,17082.169921875,15268.876953125,33743.7421875,28816.212890625
8,12584.06640625,12126.2080078125,11855.9306640625,12151.87890625,14917.857421875,15334.5771484375,13234.03515625,33919.921875,28988.326171875
8,13510.830078125,13228.548828125,13166.8935546875,13709.5361328125,16551.77734375,17544.892578125,15574.99609375,33604.8515625,28801.32421875
8,13048.3876953125,12731.724609375,12665.44921875,13169.6767578125,17341.099609375,18304.490234375,15988.306640625,33150.3515625,28494.0546875
8,12725.2080078125,12277.7470703125,12089.2275390625,12467.8740234375,15221.8017578125,15378.9794921875,13243.7578125,33829.98046875,29019.873046875
17,10192.578125,9117.73046875,7446.912109375,6311.57373046875,5687.58056640625,5162.1142578125,5088.0478515625,28025.19140625,25471.939453125
17,10178.98828125,9117.87890625,7442.6943359375,6310.9990234375,5688.1923828125,5164.19775390625,5086.00439453125,28034.265625,25483.068359375
17,10182.9091796875,9112.8251953125,7441.1435546875,6305.81884765625,5687.14404296875,5164.56787109375,5084.9462890625,28002.505859375,25455.900390625
17,10172.2158203125,9104.7197265625,7432.71875,6293.5595703125,5684.60302734375,5161.18359375,5083.74951171875,27952.884765625,25432.443359375
17,10164.337890625,9098.96875,7425.0263671875,6297.9853515625,5683.09619140625,5163.6826171875,5085.17333984375,27997.4609375,25458.453125
17,10148.33984375,9087.5634765625,7422.763671875,6289.70849609375,5689.73193359375,5164.38916015625,5084.1689453125,28047.607421875,25496.486328125
17,10146.1240234375,9078.8271484375,7422.0263671875,6288.00341796875,5687.49267578125,5166.2978515625,5088.3095703125,28062.61328125,25513.8984375
8,12028.08984375,11429.947265625,11110.080078125,11082.6435546875,16925.12890625,14099.4306640625,11460.6201171875,32889.5,28431.6171875
8,14671.865234375,14440.7763671875,14414.2216796875,14943.9697265625,17340.05859375,18327.04296875,15982.21875,32970.5078125,28400.71484375
8,14374.375,14188.7353515625,14295.7705078125,14736.23828125,17965.19921875,19343.412109375,16767.6953125,32841.6328125,28431.796875
8,12890.0146484375,12485.6552734375,12462.693359375,12825.8193359375,15990.517578125,16112.7666015625,13712.787109375,33475.609375,28764.076171875
17,10185.248046875,9123.2822265625,7448.62548828125,6310.17041015625,5688.0283203125,5164.9833984375,5086.96533203125,28005.017578125,25484.158203125
17,10186.84375,9124.1474609375,7441.8701171875,6308.00634765625,5686.568359375,5169.892578125,5084.6494140625,28008.439453125,25485.9296875
17,10180.8212890625,9111.5390625,7438.9443359375,6305.44482421875,5687.8095703125,5164.32275390625,5084.849609375,27984.03515625,25470.2421875
17,10173.7080078125,9107.685546875,7432.7333984375,6302.06396484375,5687.654296875,5162.720703125,5087.2919921875,27921.919921875,25441.044921875
17,10164.09375,9098.62109375,7425.93896484375,6297.3671875,5684.580078125,5163.98388671875,5087.8603515625,27983.876953125,25471.080078125
17,10150.8388671875,9087.9970703125,7427.64990234375,6293.81884765625,5684.97900390625,5164.25439453125,5088.2353515625,28029.111328125,25516.44140625
17,10147.306640625,9079.2080078125,7427.1865234375,6287.80322265625,5688.3212890625,5164.15771484375,5087.67333984375,28063.828125,25525.001953125
17,10192.2880859375,9125.6611328125,7444.419921875,6312.46533203125,5691.17529296875,5167.1611328125,5093.14990234375,27990.298828125,25451.580078125
17,10179.455078125,9118.298828125,7444.44677734375,6310.43505859375,5691.42529296875,5167.7412109375,5088.61865234375,27987.380859375,25476.3984375
17,10177.4306640625,9110.2724609375,7438.64404296875,6307.29443359375,5688.4208984375,5163.28369140625,5086.40966796875,28001.720703125,25472.650390625
17,10172.4619140625,9104.958984375,7434.06005859375,6298.47607421875,5691.0751953125,5166.4248046875,5088.5986328125,27934.375,25458.3125
17,10162.662109375,9103.501953125,7435.943359375,6298.072265625,5689.19580078125,5165.45947265625,5088.15087890625,28000.4296875,25490.8828125
17,10153.359375,9090.2470703125,7430.607421875,6295.390625,5681.86181640625,5163.34912109375,5085.79296875,28053.357421875,25530.91796875
17,10194.06640625,9131.6767578125,7444.04150390625,6313.84033203125,5697.8193359375,5171.640625,5085.2001953125,27981.30078125,25465.478515625
